,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,mode,time_signature
0,03d5V0uvYp3hU7wE9mJzJa,0.0225,0.454,0.447,0.889,0.103,-13.387,0.0273,74.474,0.429,9,0,4
1,0CufyIMTfy8YFJXjNfDXvl,0.528,0.326,0.279,0.696,0.222,-15.306,0.0336,136.48,0.148,7,1,4
2,121IyQ9weu5MXAfXAFVDcH,0.000334,0.454,0.579,0.00625,0.163,-9.987,0.0286,84.146,0.221,0,1,4
3,1Nc5cKez6FmEbsFwYwUbqg,0.795,0.527,0.825,0.0,0.0973,-5.025,0.0939,95.958,0.772,3,1,4
4,1TbgAIgWDO1qzwem0g0Qyy,0.877,0.487,0.659,0.311,0.134,-10.989,0.054,107.135,0.854,10,0,4
5,1Yz4f8rXtp24nC5ODB2hbf,0.822,0.595,0.0916,0.0,0.637,-15.629,0.0411,134.588,0.404,9,0,4
6,1iL21iXvsVlj8YoW4xscL4,0.00145,0.594,0.76,0.018,0.167,-8.354,0.0474,117.488,0.368,9,0,4
7,1uAPPbyrEMcYfc3pSt6EPw,0.737,0.66,0.845,0.0,0.69,-5.388,0.119,108.871,0.73,11,1,4
8,1vK9QlRzi0YNKUneqn7FfH,0.763,0.407,0.463,0.0504,0.372,-10.655,0.0373,77.982,0.16,0,0,4
9,1wrRTfHIrmDy3mBVdYGTEF,0.66,0.277,0.579,0.0983,0.292,-7.654,0.0326,83.947,0.131,2,1,4
10,22Gt4PsK0t0Pbo8jwHQ1l6,0.0234,0.563,0.403,0.00018,0.128,-9.642,0.0239,81.398,0.291,0,1,4
11,26VR0Cbg2NHvbaD4S3zBdr,0.991,0.449,0.138,0.903,0.106,-22.263,0.0708,71.731,0.0936,0,1,3
12,2eRJg8gJ4buaHRtxHVsrAC,3.38e-05,0.465,0.661,0.0,0.135,-8.642,0.029,82.462,0.287,7,1,4
13,2mvvbKZiaCnPl5DkylRWq7,0.568,0.384,0.365,0.0177,0.0926,-17.548,0.181,138.264,0.242,2,1,4
14,2qK2nPXO2nXPtv0WJcj3tA,0.12,0.407,0.47,3.7e-05,0.351,-9.738,0.0283,82.298,0.119,0,1,4
15,2qfp0J9nGDZxcBWlDEjHu6,0.953,0.496,0.51,0.924,0.0928,-11.531,0.14,172.144,0.169,0,1,4
16,2unCEBYAWQv0w8kPZpgtKZ,0.424,0.714,0.702,0.00703,0.0778,-11.538,0.13,105.936,0.699,3,1,4
17,326OG25BFjX3f6NPnuxZEI,0.793,0.493,0.509,0.0,0.101,-6.48,0.0424,144.569,0.534,4,1,4
18,327VT8rX6vjrTJulV2Uasv,0.842,0.685,0.476,0.137,0.132,-11.098,0.186,131.677,0.928,2,0,4
19,3GjVmCzcI9tTix5l7koACS,0.895,0.261,0.253,0.000572,0.157,-10.316,0.036,94.44,0.199,7,0,1
20,3NKCZlMV8fX8iboe5peJXO,0.906,0.416,0.203,0.317,0.128,-18.541,0.0525,120.098,0.0741,10,1,4
21,3TeTf7QjiNljQfH4IEiSrg,0.99,0.547,0.113,0.972,0.112,-23.239,0.0791,95.002,0.264,0,1,3
22,3gKPgTUEUpBoolYKmJWmCO,0.01,0.67,0.675,0.000222,0.051,-7.226,0.0385,123.963,0.576,5,1,4
23,3i1MNJIvEWFQKDOBtQU3Ff,0.2,0.279,0.704,0.758,0.092,-9.997,0.0885,135.951,0.173,9,1,4
24,3lDWuqdYRuliDW5r7Vyswd,0.44,0.643,0.421,4.77e-05,0.113,-14.888,0.07,113.194,0.331,7,0,4
25,3neaaKU6Bhxl9esOmrXXBU,0.213,0.452,0.872,0.167,0.444,-7.928,0.051,155.538,0.375,3,1,4
26,3roiJb3DtzpTdSyrLOa2jg,0.932,0.308,0.249,0.00526,0.216,-12.519,0.0287,83.066,0.0952,7,1,3
27,448fGBQgjf9PiQUI8km4m7,0.000162,0.888,0.694,0.335,0.103,-14.556,0.156,120.031,0.691,3,1,4
28,4L1sAvLGRMg7LPU1dBKH8z,0.00542,0.495,0.555,0.00479,0.459,-10.12,0.0285,99.213,0.114,7,1,4
29,4OmBpNKQFVGrM3XYIvDrHh,0.064,0.293,0.512,3.65e-05,0.283,-8.064,0.0294,77.877,0.235,7,0,4
30,4UjcpO8K5MOM4TSfopHT11,0.752,0.5,0.825,0.0,0.13,-5.206,0.14,126.026,0.883,7,1,4
31,4hT44AufFjOtPosMvHvRAR,0.762,0.293,0.308,0.000179,0.133,-11.543,0.0335,88.206,0.159,0,1,4
32,4qLtj0sV4H6HPHMuoUFT8j,0.604,0.522,0.687,0.0797,0.108,-11.935,0.45,83.324,0.719,4,1,4
33,5L8qzR3rsT9747tUeNGUBc,0.226,0.295,0.879,0.866,0.0962,-6.222,0.051,77.898,0.159,9,1,4
34,5Ri6OwuQTA5AGCEEtSXo6Q,0.961,0.318,0.23,0.000501,0.335,-14.623,0.0288,90.142,0.107,7,1,4
35,5YrQo93KG1AgoZFCOnIsCk,0.0133,0.666,0.571,0.0,0.114,-6.765,0.0272,115.984,0.532,8,1,4
36,5ZiRwY5m25D15oEzPq5Y2U,0.12,0.0892,0.497,0.906,0.328,-8.198,0.0365,169.409,0.327,0,1,3
37,5bQwuZ7Dk7LODA5NUaKhxH,0.519,0.444,0.421,0.000962,0.115,-16.391,0.0897,149.656,0.397,6,0,4
38,5ibyRb8aFGW4HUiq7OfmAh,0.288,0.438,0.488,0.0,0.114,-10.158,0.0352,149.79,0.173,9,1,4
39,5zgkQJ5Cp1qP62GavO6ehw,0.204,0.308,0.758,0.928,0.166,-8.132,0.061,130.156,0.215,2,1,4
40,61frOip4WIMq0z411Rmfel,0.71,0.382,0.257,0.74,0.0953,-19.335,0.0411,147.405,0.145,9,1,4
41,695i7z7SG2VtXx8HhPjpAW,0.194,0.371,0.428,0.00404,0.363,-15.68,0.043,133.241,0.144,1,0,4
42,6DL6I8tLwGL5Kb9dH7rC5x,0.699,0.753,0.936,0.0116,0.168,-10.129,0.282,139.799,0.524,4,1,4
43,6YoT0e5LgRqP4Pf25UF0U9,0.273,0.408,0.342,0.0107,0.118,-16.786,0.0749,136.299,0.428,9,1,3
44,6v6MfY8YRPhEdSsJLA9TC1,0.731,0.683,0.949,0.0,0.195,-4.497,0.287,114.553,0.912,6,1,4
45,7HIqlEBjicewVkiNTJBSqq,0.87,0.492,0.858,0.0,0.121,-4.87,0.0675,149.792,0.639,8,1,3
46,7JAhARCLTSxTcrMWHEqGft,0.0,0.743,0.363,0.972,0.0743,-14.826,0.306,80.991,0.667,2,0,4
47,7fUGFhhraV1C9Wj8Ih6zpu,0.00374,0.639,0.684,0.431,0.316,-8.374,0.0266,129.96,0.582,11,1,4
48,7kGiuXhqAEBPogOQK2DsIo,0.601,0.563,0.524,2.48e-06,0.0642,-11.475,0.0852,80.236,0.75,10,0,4
49,01i4uU75h9r2T4jd3X0Low,0.788,0.36,0.38,0.726,0.141,-10.975,0.0374,126.185,0.701,7,1,3
50,06t5q3h2CnTdMsGilfMhi5,0.863,0.668,0.032,0.936,0.096,-34.48,0.0358,105.378,0.682,6,0,4
51,0DomF5EZAfxmA8WdtDo82Y,0.861,0.186,0.0974,0.891,0.0965,-17.26,0.0393,77.363,0.14,9,1,4
52,0EXvaVFDoxL9vE4np77kGf,0.987,0.376,0.122,0.852,0.137,-18.927,0.0448,125.006,0.208,1,1,3
53,0lLhB70QIpXV2s9OT7GauB,3.89e-05,0.36,0.965,3.66e-06,0.322,-6.973,0.119,147.898,0.118,11,0,4
54,16nJl8NnriCJxraco5Zssm,0.111,0.457,0.548,0.00016,0.103,-12.486,0.0551,88.8,0.76,5,0,4
55,1VqXs6WAXiUxRwV9lMwVNO,0.976,0.484,0.156,0.821,0.102,-16.743,0.0525,117.585,0.402,5,0,4
58,28iXJHMTeXR8V1rER2WHBG,0.936,0.0878,0.0649,0.891,0.0991,-28.34,0.0471,68.73,0.0931,2,1,3
59,2DNI8W1oK0bvEYCmYOPChn,0.909,0.243,0.143,0.911,0.15,-18.987,0.0456,159.819,0.126,9,1,4
60,2FG0tHF5hXMCBA7lChmxDc,0.00103,0.553,0.676,0.79,0.0879,-9.658,0.0295,137.998,0.102,7,1,4
61,2G5P1e2d6zy8WfJ5eZAgoD,0.803,0.615,0.0582,9.32e-05,0.0973,-16.2,0.0747,113.87,0.4,5,1,4
62,2PHwso9dj8nVg1wbK5CyYM,0.97,0.191,0.202,0.755,0.477,-14.043,0.0458,77.841,0.0532,4,0,4
63,2XAR57tMyVXSfcGC8eDw3A,0.931,0.124,0.209,0.876,0.222,-12.001,0.0402,85.878,0.0364,4,1,3
64,2XcCKGyjq8NNr1G07gGk9D,0.981,0.451,0.133,0.296,0.139,-11.272,0.0385,105.07,0.285,5,0,4
65,2e9uX0YSV9YRtjCReXOFty,0.961,0.203,0.502,0.925,0.0474,-9.994,0.0593,173.708,0.111,2,1,4
66,3HITzrgsgLas2PH3UfYqy8,0.706,0.21,0.316,0.901,0.213,-8.456,0.0389,121.2,0.06,7,1,3
69,3ofHxyM8U5B2o8JHffaOLa,0.0245,0.347,0.948,6.6e-05,0.154,-6.098,0.101,158.202,0.222,9,1,4
70,3ox7WFAkfu9P8kHQP7dMcK,0.00033,0.37,0.931,0.000478,0.107,-5.606,0.106,167.99,0.177,1,1,4
71,3pfItnqZfGQh3E3FF6AEZe,0.0219,0.329,0.717,0.0108,0.0985,-6.935,0.0302,140.0,0.263,7,1,4
72,3szfrDTP6hGHJDaVxnjV9T,0.879,0.691,0.409,0.0378,0.0692,-12.486,0.031,150.439,0.799,0,0,4
73,45cxRAjygOLyVEgqH4wmLY,0.868,0.292,0.0126,0.11,0.0691,-34.499,0.0438,122.288,0.0438,3,0,3
74,4Atn5PbOKt7zwrmgcpbWFF,0.933,0.61,0.0912,0.774,0.119,-18.588,0.0474,95.888,0.288,5,1,3
76,5ETdhA0kcgXDpEJ1wYFPsI,0.963,0.473,0.1,0.326,0.149,-16.777,0.0633,101.945,0.411,0,0,4
78,5MZCntgi8mFrwB2T0A4eNj,0.991,0.346,0.184,0.854,0.209,-16.029,0.0429,84.503,0.211,7,1,3
79,5OEzLD0uB6tkypk9TQQbSZ,0.222,0.381,0.655,0.818,0.204,-9.349,0.0396,162.896,0.2,6,1,4
80,5P6gbrkreeWBdwaWCSNfYR,0.922,0.159,0.161,0.792,0.0789,-19.427,0.0484,65.201,0.082,5,0,3
81,5RelhQ0ZbryXv0hDgZmSS5,1.85e-05,0.361,0.973,0.262,0.343,-4.324,0.0723,167.08,0.271,2,1,4
83,5RptyKgs2khilWOFsZE2Us,0.547,0.203,0.663,0.00336,0.152,-7.448,0.0415,80.224,0.618,4,0,4
85,6DHqxAcKZ2lTQeKdhs1sju,0.902,0.139,0.142,0.878,0.0985,-16.967,0.0378,87.327,0.0618,4,0,4
86,6K5aJf4HNQBej32ktBWIfQ,0.00185,0.48,0.567,3.24e-06,0.394,-8.22,0.0306,149.966,0.33,10,0,4
87,6Up1Yni5g7bRQeFqiuMALg,4.51e-05,0.455,0.962,2.13e-05,0.376,-5.386,0.0663,97.978,0.497,1,1,4
