,played_at,name,duration_ms,id,popularity,artist,album,album_id
0,2020-06-04T17:46:58.215Z,Preto Velho,229466,2NCXWJJ3BX6Sl2e9hcQKpR,18,Carlos Quilombola Danilo Andrade Felix Quilombola,"Capoeira de Outra Maneira, Vol. I",0n0Fc7y8h3UbexZLWAZnLY
1,2020-06-04T17:43:08.862Z,Segura o Tombo da Canoa,246120,3YUeTpyghYZAhDofXi449s,18,Carlos Quilombola Danilo Andrade Felix Quilombola,"Capoeira de Outra Maneira, Vol. I",0n0Fc7y8h3UbexZLWAZnLY
2,2020-06-04T17:39:02.773Z,Bom Vaqueiro (feat. Danilo Andrade),213133,6pQkRHb5Z5fZBX1sEayz9v,18,Carlos Quilombola Danilo Andrade Felix Quilombola,"Capoeira de Outra Maneira, Vol. I",0n0Fc7y8h3UbexZLWAZnLY
3,2020-06-04T17:35:29.601Z,"Chama Eu, Angola (feat. Felix Quilombola)",309586,7eRq3o19bjPr48HxfYm34H,20,Carlos Quilombola Danilo Andrade Felix Quilombola,"Capoeira de Outra Maneira, Vol. I",0n0Fc7y8h3UbexZLWAZnLY
4,2020-06-04T17:30:20.087Z,Luanda Ê Pandeiro,179360,3bg0QtZJJYZqgIfs6HGkgt,19,Carlos Quilombola Danilo Andrade Felix Quilombola,"Capoeira de Outra Maneira, Vol. I",0n0Fc7y8h3UbexZLWAZnLY
5,2020-06-04T17:27:20.873Z,Na Areia,278080,3kdXFcujDA0xTc0cMCt931,20,Carlos Quilombola Danilo Andrade Felix Quilombola,"Capoeira de Outra Maneira, Vol. I",0n0Fc7y8h3UbexZLWAZnLY
6,2020-06-01T16:34:22.254Z,Target,183000,60tHXabTlAhzlkXRDWl9cp,57,Tom Kalani,Target,3kI4ax7CduZsv6bqHvcbGK
7,2020-06-01T13:36:25.730Z,The Discovery,193000,5NKK0t7lYlyDsT5auDYKmq,57,Sulfur Springs,The Discovery,5AIoZtcwqxJZ5HOc5CFUKI
8,2020-06-01T13:33:12.270Z,Den inre skogen,229657,0Zl6KnmirT1PeGZvAZY9T1,56,Thomas Jackson,Den inre skogen,64zeCjhSkwRDzVF6TvOwlc
9,2020-06-01T13:29:22.112Z,Monumental,195057,6CKu6K0xvozAgFlQq44Z56,56,Antuigo,Monumental,2tOaZ6dOyRArPGhwiLEklp
10,2020-06-01T13:26:06.607Z,Laugavegur,188795,4nZSgFwgYUOyWcBX61JY6j,57,Dreyma,Laugavegur,2NoslXTFBvgUP5eKbJvPcP
11,2020-06-01T13:22:57.299Z,Event Horizon,310666,7lSHfDPdyGdRyG234h5ToK,58,Airwaves,Event Horizon,0RulKn45TE6lNROR1jvxDm
12,2020-06-01T13:17:46.162Z,Just Look at You,187385,62X7ld1sa8RHl4zRtSvfHf,57,369,432 Water Crystals,6jSQXGouXgIfiwa9icJO68
13,2020-06-01T13:14:38.301Z,When They Come,262000,100jBpD7nuiMriR7ErXQ9S,59,Threading Hair,When They Come,2RBZ6bC1VSBugVSV3GXiEY
14,2020-06-01T13:10:15.822Z,Coda,180614,2TFQPFUqRtgj1auq9b5PlR,59,Jakob Ahlbom,Endeavour,3MwtBdr2Ohdg6TCtHoZDAH
15,2020-06-01T13:07:14.581Z,Curiosity,155820,3WEdWvAScE1EcBfErseQnC,61,Beau Projet,Curiosity,5FbnGcGNWnjufAuOrXss3k
