artists,x0,x1,play_count
"""Cats"" 1981 Original London Cast Andrew Lloyd Webber Elaine Paige",2.8465102,8.313972,3
"""Cats"" 1983 Broadway Cast Andrew Lloyd Webber",3.6225588,6.9680324,5
"""Joseph And The Amazing Technicolor Dreamcoat"" 1991 London Cast Andrew Lloyd Webber Jason Donovan Linzi Hateley",7.5176105,10.640282,3
"""Joseph And The Amazing Technicolor Dreamcoat"" 1992 Canadian Cast Andrew Lloyd Webber Donny Osmond",5.0024967,7.9975815,3
"""Joseph And The Amazing Technicolor Dreamcoat"" 1992 Canadian Cast Andrew Lloyd Webber Donny Osmond Janet Metz",4.2652583,7.5436697,5
"""Joseph And The Amazing Technicolor Dreamcoat"" 1992 Canadian Cast Andrew Lloyd Webber Janet Metz",7.638355,7.692712,5
"""Weird Al"" Yankovic",11.070848,8.920757,70
$uicideBoy$,9.582421,10.79776,50
$uicideBoy$ Pouya,9.308575,10.887045,6
'Til Tuesday,9.415303,10.6400175,8
(Hed) P.E.,10.500246,12.591221,6
*NSYNC,11.4978695,10.102566,36
+44,10.94995,13.648667,5
10 Years,9.718386,13.395013,8
"10,000 Maniacs",9.335487,9.105182,23
101 Strings Orchestra,-0.72740185,10.183425,4
10cc,8.87913,9.901934,20
112,9.768869,9.882032,13
112 Diddy Faith Evans,10.940751,8.2055,3
112 Mase The Notorious B.I.G.,10.896763,8.769755,3
112 The Notorious B.I.G.,10.3453865,10.039546,3
12 Stones,10.588201,13.503243,6
1422,3.4084585,12.124362,3
1910 Fruitgum Company,10.642953,7.508118,4
1986 Omega Tribe,9.414527,7.980216,6
2 Chainz,11.339067,9.408575,3
2 Chainz Big Sean Kanye West Pusha T,14.122404,10.046761,3
2 LIVE CREW,14.069483,8.5544405,22
2 Unlimited,10.943941,9.091771,6
2002,-0.7016079,11.47357,3
20th Century Fox Studio Orchestra,2.1150086,12.54329,3
21 Savage,13.713591,9.9771805,15
21 Savage Metro Boomin,13.752881,9.595506,7
24kGoldn,12.844052,10.3705635,6
2KBABY,5.405513,3.7830274,3
2Pac,14.0559,8.881241,96
2Pac Danny Boy,14.631938,8.600564,4
2Pac Dr. Dre Roger,11.870291,9.809664,4
2Pac Dramacydal,14.319674,8.705215,3
2Pac Nate Dogg,14.432039,8.630732,3
2Pac Outlawz,13.747247,8.937738,5
2Pac Snoop Dogg,12.931826,9.790296,4
2Pac Talent,10.12106,10.227514,4
2nd II None,14.143205,8.51024,3
3 Doors Down,10.790517,12.575813,25
311,11.557233,11.290837,61
38 Special,10.230454,9.262855,43
3OH!3,14.040496,10.054406,9
3rd Bass,13.559808,8.736589,5
4 Non Blondes,8.408604,11.089667,6
42 Dugg Lil Baby,13.789899,9.820608,3
45 Grave,6.500768,13.4715185,3
4Him,8.177524,10.817949,3
5 Seconds of Summer,11.3157015,12.486021,45
50 Cent,14.398866,9.229133,50
50 Cent Dr. Dre Eminem,10.606251,13.67038,3
50 Cent Eminem,14.758064,8.7821245,3
50 Cent The Game,13.677294,8.962293,3
50 Cent Young Buck,13.455422,10.0935335,4
504 Boyz,13.924424,10.16429,3
69 Boyz,13.423243,9.742967,5
6LACK,9.097604,10.981084,11
6ix9ine,13.8465,10.196655,6
702,10.86869,10.017304,4
8Ball & MJG,13.845767,10.140252,7
9 Days Wonder,9.244423,10.305837,12
98º,9.295893,9.790913,7
999,6.3729944,13.258824,3
? & The Mysterians,11.156376,8.946788,11
A Boogie Wit da Hoodie,13.510254,9.854342,24
A Day To Remember,10.612889,13.626802,53
A Flock Of Seagulls,6.1741433,13.305175,20
A Perfect Circle,6.2010546,13.833012,29
A R I Z O N A,8.953177,11.629037,3
A Rocket To The Moon,11.002431,13.436093,3
A Skylit Drive,10.286687,13.840795,3
A Taste Of Honey,11.045903,8.053605,3
A Tribe Called Quest,13.837394,8.891592,67
A$AP Ferg,13.051544,10.279781,5
A$AP Rocky,12.981748,10.321469,17
A$AP Rocky ScHoolboy Q,9.246722,11.500156,4
A*Teens,12.008049,10.062364,3
A. L. Lloyd Ewan MacColl,6.153398,7.1655397,3
A. M. Rajah,8.067723,6.6402783,4
A. M. Rajah P. Leela,3.1927311,12.600412,4
A. M. Rajah P. Susheela,3.2642708,12.88304,4
A. R. Oza,6.38426,6.0464945,6
A. R. Qureshi,2.8466613,12.742711,8
A.B. Quintanilla III Y Los Kumbia Kings,9.777346,6.9288473,7
ABBA,9.639229,9.570076,124
ABC,11.945542,9.606975,10
ABN,13.12135,10.095612,4
AC/DC,7.196353,13.449846,151
AFI,10.287662,12.993284,31
AJ Mitchell,7.4252667,10.356203,3
AJJ,10.590561,10.027039,7
AJR,10.013697,10.837306,26
ANTONIS NTALGKAS,2.358737,12.4361,62
APO Hiking Society,7.6331024,9.728065,15
ASIAN KUNG-FU GENERATION,10.93858,13.574994,5
ATB,5.7050834,13.06188,3
AURORA,4.8179283,9.046493,4
AViVA,11.127837,10.92965,3
AWOLNATION,6.6299114,13.263853,12
AZ,14.1950035,9.202559,5
Aaliyah,11.022277,9.52705,12
Aaron Carter,11.985156,8.907198,5
Aaron Copland,3.0001426,8.782125,26
Aaron Copland Columbia Symphony Orchestra William Warfield,2.9974203,8.741587,3
Aaron Copland Leonard Bernstein New York Philharmonic,-1.3193318,10.913082,44
Aaron Copland London Symphony Orchestra,-1.8232857,10.878029,16
Aaron Copland Martha Lipton,3.454451,8.680609,8
Aaron Copland Oscar Levant,1.4946513,12.5649185,5
Aaron Copland William Kapell,-0.44222587,12.168577,6
Aaron Hall,10.350631,11.199576,6
Aaron Lewis,8.826102,11.280738,12
Aaron Neville,7.8116913,8.619029,8
Aaron Neville Linda Ronstadt,5.8827844,9.692109,3
Aaron Shust,9.828644,12.915307,3
Aaron Tippin,9.607775,9.443015,11
Aaron Watson,8.496246,11.005052,8
Aaron Y Su Grupo Ilusion,11.759801,11.205681,5
Aarti Mukherji,4.841775,9.115045,3
Ab-Soul Kendrick Lamar,14.119394,9.912989,3
Abbasuddin Ahmed,1.743543,12.731958,21
Abdel Aziz Mahmoud,2.734326,12.294842,5
Abdel Halim Hafez,5.6570086,8.642126,23
Abel Zavala,7.7763004,10.456504,3
Abhayapada Chatterjee,0.50337076,12.823002,4
Abhram Bhagat,5.904551,7.7096853,4
